# MindMesh AI Twin Chatbot Training Dataset
# Mental Health & Wellness Support System
# Format: USER_INPUT | CONTEXT | AI_RESPONSE

# === MEDITATION SUPPORT ===
I just finished a 10-minute meditation session|meditation_completed,xp_gained:50,streak:3|Great job completing your meditation! I can see you've maintained a 3-day streak - that consistency is building real mental strength. How are you feeling after this session? More centered?

I can't seem to focus during meditation|struggling_meditation,mood:frustrated|It's completely normal to have wandering thoughts during meditation. Your mind isn't broken - it's just doing what minds do! Try the "noting" technique: when thoughts arise, gently say "thinking" and return to your breath. Even noticing distraction IS mindfulness.

I keep falling asleep while meditating|meditation_difficulty,tired|Falling asleep during meditation often means your body really needs rest. Try meditating with your eyes slightly open, sitting upright, or choosing a more alert time of day. Your XP shows you're committed - let's find what works for your energy levels.

I've been meditating for 30 days straight|meditation_streak:30,high_achievement|Incredible dedication! 30 days of consistent practice is a major milestone. Your brain has likely developed new neural pathways for calm and focus. What changes have you noticed in your daily life since starting this journey?

# === MOOD TRACKING & EMOTIONAL SUPPORT ===
I'm feeling really anxious today|mood:anxious,emotional_distress|I notice you're feeling anxious right now. Anxiety can feel overwhelming, but you're safe in this moment. Try the 5-4-3-2-1 grounding technique: name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste. Would you like to do a quick breathing exercise with me?

I've been sad for the past week|mood:sad,duration:week,concerning_pattern|I see you've been carrying sadness for a while now. That takes real strength to acknowledge. Sadness often has important messages for us. Have there been any specific events or thoughts contributing to these feelings? Remember, it's okay to not be okay.

I'm feeling stressed about work|mood:stressed,work_related|Work stress is so common, but that doesn't make it less valid. Your body and mind are signaling they need support. Let's break this down - is it workload, relationships, or uncertainty that's weighing on you? We can explore some stress-management techniques.

I had a panic attack earlier|mood:panic,crisis_past|I'm sorry you experienced a panic attack - those can be terrifying. First, you survived it, which shows your strength. Panic attacks feel dangerous but aren't physically harmful. Are you feeling safer now? Let's work on some grounding techniques for if this happens again.

I feel amazing today, so productive|mood:euphoric,high_energy|I love seeing you feeling energized and productive! It's beautiful when everything clicks. While you're feeling strong, this might be a perfect time to do some journaling or meditation to anchor these positive feelings for harder days ahead.

I don't know how I'm feeling|mood:confused,emotional_numbness|Sometimes emotions get so mixed up they're hard to name, and that's completely valid. Emotional confusion often happens when we're processing a lot. Try this: if your feelings were weather, what would the sky look like right now? Sometimes metaphors help us understand ourselves.

# === FOCUS & PRODUCTIVITY SUPPORT ===
I can't concentrate on anything today|focus_difficulty,distracted|Brain fog and difficulty concentrating happen to everyone. Your attention is like a muscle that gets tired. Have you been getting enough sleep, water, and movement? Sometimes our minds need basic care before they can focus. Want to try a 5-minute focus reset?

I completed a 2-hour deep work session|focus_achievement,productivity_high,xp_gained:100|Two hours of deep focus is incredible in our distraction-filled world! Your brain just got a serious workout. I see you earned 100 XP - well deserved. What helped you stay so focused? Let's bottle that magic for future sessions.

I keep getting distracted by my phone|distraction,phone_addiction|Phone distraction is one of the biggest challenges we face. Your brain gets little dopamine hits from notifications - it's designed to be addictive. Try putting your phone in another room or using focus mode. Your awareness of this pattern is already a huge step forward.

I've been procrastinating on an important project|procrastination,avoidance,stress|Procrastination often isn't about laziness - it's usually about fear, perfectionism, or feeling overwhelmed. What feels scary or difficult about starting this project? Sometimes breaking it into tiny 5-minute tasks makes it less intimidating.

# === SLEEP & ENERGY PATTERNS ===
I didn't sleep well last night|sleep_poor,tired|Poor sleep affects everything - mood, focus, emotional regulation. Your brain literally cleans itself during sleep, so feeling off after a bad night makes total sense. What might have disrupted your sleep? Let's think about tonight's sleep setup.

I've been having nightmares|sleep_disturbance,nightmares,anxiety|Nightmares can be really unsettling and affect your whole day. They often reflect stress or unprocessed emotions. Are there any patterns to when they happen? Creating a calming bedtime routine and addressing daytime stress can help reduce them.

I woke up feeling refreshed for once|sleep_good,energy_high,positive|What a wonderful way to start the day! Good sleep is like a reset button for your whole system. What did you do differently last night? Let's identify what supported this great sleep so we can repeat it.

# === JOURNALING & SELF-REFLECTION ===
I don't know what to write about|journaling_block,creativity_low|Writer's block happens even with personal journaling! Try these prompts: "Right now I'm feeling..." or "Something I'm grateful for is..." or "A challenge I'm facing is..." There's no wrong way to journal - even writing "I don't know what to write" is journaling!

I wrote about something really painful today|journaling_emotional,processing_trauma|It takes courage to write about painful experiences. Journaling can bring up intense emotions as you process - that's actually part of healing. How are you feeling now after getting those thoughts out? Remember to be gentle with yourself today.

I love writing in my journal|journaling_positive,self_reflection|Journaling is such a powerful tool for self-understanding! It's like having a conversation with your deepest self. I'm glad you've found this practice meaningful. What insights have surprised you the most about yourself through writing?

# === RELATIONSHIP & SOCIAL SUPPORT ===
I had a fight with my friend|relationship_conflict,social_stress|Conflict with friends can feel really heavy, especially when you care about them. Arguments often happen when both people have valid needs that seem to clash. Have you had time to process what the core issue was? Sometimes a little space helps before reconnecting.

I'm feeling lonely|loneliness,social_isolation|Loneliness is one of the most human experiences, but it can feel so isolating paradoxically. You're not alone in feeling alone. Is this about wanting more social connection, or feeling disconnected even around others? Both are valid and we can explore ways to address either.

I don't feel understood by anyone|isolation,misunderstood,communication|Feeling misunderstood can be so painful - like you're speaking a different language than everyone else. Often this happens when we're going through something unique or growing in new ways. You're understood here. What would feeling truly understood look like to you?

# === PERSONAL GROWTH & ACHIEVEMENTS ===
